id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
333092,WIDL,small_airport,"Letung Airport",2.96447,105.75484,33,AS,Indonesia,ID,"Kepulauan Riau (Riau Islands)",ID-KR,KR,"Bukit Padi",0,WIDL,WIDL,LMU,,,https://en.wikipedia.org/wiki/Letung_Airport,,50,2024-08-21T14:45:20+00:00
32632,WAPB,small_airport,"Bula Airport",-3.10996,130.509995,10,AS,Indonesia,ID,Maluku,ID-MA,MA,Bula,0,WAPB,,,,,,,50,2022-09-19T16:42:25+00:00
42267,WAOU,small_airport,"Sanggu Airport",-1.669533,114.899265,23,AS,Indonesia,ID,"Kalimantan Tengah (Central Kalimantan)",ID-KT,KT,Buntok,0,WAGM,,,,,,,50,2025-10-02T20:25:35+00:00
41474,WRBU,small_airport,"Buntok Airport",-1.73250997066,114.838996887,59,AS,Indonesia,ID,"Kalimantan Tengah (Central Kalimantan)",ID-KT,KT,"Buntok-Borneo Island",0,WRBU,,,,,,,50,2013-12-20T20:39:40+00:00
310281,ID-0039,small_airport,"Calang Airstrip",4.612323,95.623534,32,AS,Indonesia,ID,Aceh,ID-AC,AC,Calang,0,,,,,,,,50,2024-10-13T15:23:30+00:00
356434,ID-0243,small_airport,"Lido Airstrip",-6.75333,106.81171,,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Cigombong,0,,,,,,,,50,2022-08-31T11:13:07+00:00
356435,ID-0244,small_airport,"Cikembar Airport",-6.96924,106.78866,,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Cikembar,0,,,,,,,,50,2022-08-31T11:14:08+00:00
356433,ID-0242,small_airport,"Citeurup Paraglider Airport",-6.50814,106.87836,,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Citeurup,0,,,,,,,,50,2022-08-31T11:11:42+00:00
310291,ID-0040,small_airport,"Comoro Airstrip",-5.926349,138.631461,21,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Comoro,0,,,,COM,,,,50,2022-10-02T00:10:21+00:00
354226,ID-0228,small_airport,"Daboto Airstrip",-3.295335,136.408213,2575,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Daboto,0,,,,,,,"Intan Jaya",50,2022-10-01T23:04:05+00:00
354223,ID-0227,small_airport,"Dadou Airstrip",-3.686435,136.063217,4679,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Dadou,0,,,,,,,Paniai,50,2022-10-01T23:03:30+00:00
310293,ID-0041,small_airport,"Dagai Airport",-3.305757,137.94366,347,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Dagai,0,WRLB,,,DAG,,,WX59,50,2025-07-31T20:35:02+00:00
310490,ID-0089,small_airport,"Lake Holmes Airstrip",-2.472221,137.988365,1300,AS,Indonesia,ID,Papua,ID-PA,PA,"Danau Bira",0,WRPQ,,,LAH,,,WZ61,50,2025-10-03T00:28:54+00:00
348821,ID-0194,small_airport,"Korowai Batu Danowage Airport",-5.2127,140.017582,340,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Danowage,0,WAKY,,,,,,,50,2024-04-09T09:02:11+00:00
310297,ID-0043,small_airport,"Daufo Airfield",-3.1737,137.2544,500,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Daufo,0,WABR,,,DOF,,,,50,2025-08-01T13:41:56+00:00
350466,ID-0198,small_airport,"Denom Airstrip",-5.144915,140.967065,2200,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Denom,0,,,,,,,,50,2022-10-02T00:07:41+00:00
310313,ID-0044,small_airport,"Derapos Airstrip",-2.9737,137.2234,433,AS,Indonesia,ID,Papua,ID-PA,PA,Derapos,0,,,,DEP,,,WX68,50,2013-12-21T10:53:42+00:00
507408,ID-0278,small_airport,"Yabirik Airstripe",-4.455186,138.823079,6151,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,"Distrik Wusama",0,,,,,,,"yabirik airstripe",50,2023-03-24T20:39:25+00:00
30934,WAPD,small_airport,"Rar Gwamar Airport",-5.773724,134.209245,61,AS,Indonesia,ID,Maluku,ID-MA,MA,"Dobo-Warmar Island",0,WAPD,WAPD,DOB,,,https://en.wikipedia.org/wiki/Dobo_Airport,,50,2025-02-22T08:40:32+00:00
310319,ID-0045,small_airport,"Dou Airstrip",-3.262752,138.1484,299,AS,Indonesia,ID,Papua,ID-PA,PA,Dou,0,,,,DOU,,,,50,2025-08-01T06:30:51+00:00
430653,ID-0271,small_airport,"Dulis Airstrip",-4.077257,140.661553,860,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Dulis,0,,,,,,,,50,2022-10-23T05:48:26+00:00
599483,WAEA,small_airport,"Mahak Baru Airport",1.405984,115.332459,1722,AS,Indonesia,ID,"Kalimantan Utara (North Kalimantan)",ID-KU,KU,"Dumu Mahak",0,WAEA,,,,,,,50,2025-07-31T19:13:23+00:00
310323,ID-0047,small_airport,"Eaopoto Airstrip",-3.9497,136.3383,5900,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Eaopoto,0,,,,EPO,,,"WX75, Epouto",50,2025-03-19T08:49:51+00:00
430520,ID-0259,small_airport,"Eipomek Airstrip",-4.45584,140.02531,6155,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Eipomek,0,,,,,,,Eipumek,50,2022-10-17T11:50:29+00:00
311871,ID-0172,small_airport,"Enggano Airport",-5.305621,102.189546,36,AS,Indonesia,ID,Bengkulu,ID-BE,BE,Enggano,0,WIGE,,ENG,,,,,50,2024-05-22T10:56:05+00:00
310326,ID-0048,small_airport,"Engkadik Airstrip",0.9797,110.0282,2190,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Engkadik,0,,,,ENK,,,WX79,50,2013-12-21T13:28:22+00:00
430308,ID-0248,small_airport,"Eragayam Airport",-3.733891,138.747881,,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Eragayam,0,,,,,,,,50,2022-10-02T00:04:08+00:00
598463,WRFE,small_airport,"Proyam Airstrip",-3.716667,138.733333,4928,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Erageam,0,WRFE,,,,,,,50,2025-06-22T23:42:35+00:00
310330,ID-0049,small_airport,"Eri Airstrip",-2.6308,138.1094,440,AS,Indonesia,ID,Papua,ID-PA,PA,Eri,0,,,,ERI,,,WX83,50,2013-12-22T12:38:23+00:00
599508,ID-0376,small_airport,"Eyub Airstrip",-4.534076,139.766729,6751,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Eyub,0,,,,,,,Sela,50,2025-08-01T17:18:03+00:00
525699,ID-0288,small_airport,"Siboru Airport",-2.928056,132.089447,406,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Fakfak,0,,,,,,,,50,2024-04-15T04:38:13+00:00
430521,ID-0260,small_airport,"Famek Airstrip",-4.425722,140.021954,6204,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Famek,0,,,,,,,,50,2022-10-17T11:51:40+00:00
310332,ID-0050,small_airport,"Faowi Airstrip",-3.230632,137.726191,333,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Faowi,0,WRLG,,,FAO,,,WX84,50,2025-09-26T21:28:40+00:00
310333,ID-0051,closed,"Fef Airport",-0.8103,132.4326,1406,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Fef,0,,,,,,,"WX85, FEF",50,2022-08-28T03:59:59+00:00
3268,WA1B,small_airport,"Aru Airport",-6.57342004776001,134.14700317382812,165,AS,Indonesia,ID,Maluku,ID-MA,MA,"Fekfetal / Jerdera-Trangan Island",0,WA1B,,,WA1B,,,,50,2008-08-22T18:32:48+00:00
310334,ID-0052,small_airport,"Foao Airstrip",-3.066,139.099,241,AS,Indonesia,ID,Papua,ID-PA,PA,Foao,0,,,,FOA,,,WX86,50,2013-12-22T13:23:59+00:00
310338,ID-0053,small_airport,"Fruata Airstrip",-2.9858,133.5001,192,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Fruata,0,,,,FRU,,,WX87,50,2013-12-22T13:42:04+00:00
31515,ID-GAV,small_airport,"Gag Island Airport",-0.400556,129.895004,1,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,"Gag Island",0,,,GAV,,,https://fr.wikipedia.org/wiki/A%C3%A9roport_de_l%27%C3%AEle_de_Gag,,50,2024-05-20T13:51:39+00:00
31540,WAMA,small_airport,"Gamarmalamo Airport",1.838134,127.786191,157,AS,Indonesia,ID,"Maluku Utara (North Maluku)",ID-MU,MU,Galela,0,WAEG,WAEG,GLX,,,https://en.wikipedia.org/wiki/Gamar_Malamo_Airport,"WAMA, Celebes Island",50,2025-09-27T18:36:54+00:00
31523,WAMJ,small_airport,"Gebe Airport",-0.078889,129.457993,125,AS,Indonesia,ID,"Maluku Utara (North Maluku)",ID-MU,MU,"Gebe Island",0,WAMJ,WAMJ,GEB,,,https://en.wikipedia.org/wiki/Gebe_Airport,,50,2024-06-07T18:06:31+00:00
310342,ID-0054,small_airport,"Geyarek Airstrip",-4.650391,138.752389,248,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Geyarek,0,,,,GEA,,,WX92,50,2022-10-02T00:15:48+00:00
310344,ID-0055,small_airport,"Gilgal Airstrip",0.458,111.0707,108,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Gilgal,0,,,,GIL,,,WX93,50,2013-12-22T15:57:31+00:00
3275,WI1G,small_airport,"Gading Wonosari Airport",-7.916865,110.565354,702,AS,Indonesia,ID,Yogyakarta,ID-YO,YO,"Gunung Kidul",0,WI1G,,,WI1G,,,,50,2025-03-03T09:23:05+00:00
310347,ID-0056,small_airport,"Gusimawa Airstrip",-3.0423,133.8779,131,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Gusimawa,0,,,,,,,WX97,50,2013-12-22T20:04:00+00:00
310349,ID-0057,small_airport,"Haya Airstrip",-2.8156,138.1099,250,AS,Indonesia,ID,Papua,ID-PA,PA,Haya,0,,,,HAY,,,WX98,50,2013-12-22T20:18:40+00:00
507645,ID-0279,small_airport,"Helariki Airstrip",-4.176059,139.439353,4900,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Helariki,0,,,,,,,,50,2023-04-13T05:37:23+00:00
310353,ID-0059,small_airport,"Hitadipa Airport",-3.734325,137.116992,5061,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Hitadipa,0,,,,HIT,,,WZ03,50,2022-10-02T18:24:40+00:00
310355,ID-0060,small_airport,"Holuwon Airstrip",-4.480541,139.273998,3770,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Holuwon,0,,,,HOL,,,WZ07,50,2022-10-02T15:33:54+00:00
310358,ID-0061,small_airport,"Hubliki Airstrip",-3.732237,139.286263,1970,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Hubliki,0,,,,HUB,,,WZ04,50,2022-10-02T00:23:38+00:00
310360,ID-0062,small_airport,"Hulu Atas Airstrip",-3.6799,140.22955,568,AS,Indonesia,ID,Papua,ID-PA,PA,"Hulu Atas",0,,,,HUL,,,WZ05,50,2022-10-17T11:16:20+00:00
347154,ID-0191,small_airport,"Tambling Airport",-5.92113,104.55816,36,AS,Indonesia,ID,Lampung,ID-LA,LA,Hutan,0,WILB,,,,,,Tamling,50,2025-06-25T19:35:27+00:00
310362,ID-0063,small_airport,"Ibele Airstrip",-4.052,138.796,6320,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Ibele,0,,,,,,,WT90,50,2022-10-02T00:20:34+00:00
354215,ID-0223,small_airport,"Ideduna Airstrip",-3.961954,135.482025,6001,OC,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Ideduna,0,,,,,,,Idedua,50,2025-03-19T08:44:42+00:00
310406,ID-0066,small_airport,"Illaga III Airport",-3.9993,137.65317,7673,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Illaga,0,,,,,,,WZ11,50,2022-10-01T23:06:43+00:00
310409,ID-0067,small_airport,"Ilugwa/Antara Airport",-3.835894,138.921683,6500,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Ilugwa,0,,,,ILG,,,WZ12,50,2022-10-02T00:21:54+00:00
41451,WASI,small_airport,"Inanwatan Airport",-2.127447,132.160056,9,AS,Indonesia,ID,"Papua Barat Daya (Southwest Papua)",ID-PD,PD,Inanwatan,0,WASI,WASI,INX,,,https://id.wikipedia.org/wiki/Bandar_Udara_Inanwatan,,50,2025-09-27T16:54:50+00:00
599507,ID-0375,small_airport,"Ipdeheik Airstrip",-4.377306,139.319633,7897,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Ipdeheik,0,,,,,,,"Ibdeheik, Ninia",50,2025-08-01T17:31:40+00:00
310412,ID-0068,small_airport,"Iratoi Airstrip",-3.2389,137.3339,352,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Iratoi,0,,,,IRA,,,WZ14,50,2022-10-04T20:25:11+00:00
310414,ID-0069,small_airport,"Iray Airstrip",-1.33034,133.91081,6464,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Iray,0,WRLK,,,IRY,,,WZ15,50,2025-10-03T15:13:37+00:00
595550,WIOV,small_airport,"Babang Airstrip",1.340038,109.911081,135,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Jagoi,0,WIOV,,,,,,,50,2025-03-21T07:08:22+00:00
41492,ID-0003,small_airport,"Pulau Panjang Airport",-5.644444,106.5625,155,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Jakarta,0,WIHG,,PPJ,,,,"WIIG, Panjang Island",50,2016-01-17T08:40:26+00:00
310425,ID-0072,small_airport,"Jita Airstrip",-4.8564,137.7019,40,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Jita,0,WAYN,,,JIT,,,WZ21,50,2024-03-19T21:41:52+00:00
352222,AXO,small_airport,"Pantar Kabir Airport",-8.244832,124.219108,18,AS,Indonesia,ID,"Nusa Tenggara Timur (East Nusa Tenggara)",ID-NT,NT,Kabir,0,WATP,,AXO,,,,Alor,50,2025-03-14T06:30:18+00:00
352224,ID-0214,small_airport,"Blangkejeren Airport",3.94548,97.35968,,AS,Indonesia,ID,Aceh,ID-AC,AC,"Kabupaten Gayo Lues",0,WIMG,,GYO,,,,,50,2024-03-18T13:59:16+00:00
310399,ID-0065,closed,"Kaesah Airstrip",-7.1088,140.1265,53,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Kaesah,0,,,,,,,"WZ24, KAH",50,2022-10-03T17:19:57+00:00
310397,ID-0064,small_airport,"Kaiy Airstrip",-2.9871,138.1062,195,AS,Indonesia,ID,Papua,ID-PA,PA,Kaiy,0,,,,KAI,,,WZ25,50,2013-12-28T18:45:03+00:00
41479,ID-0337,closed,"Kalabahi Airport",-8.216667,124.566666,33,AS,Indonesia,ID,"Nusa Tenggara Timur (East Nusa Tenggara)",ID-NT,NT,Kalabahi,0,,,,,,,WRKM,50,2025-02-25T14:50:00+00:00
430524,ID-0263,small_airport,"Kalbok Airstrip",-4.30181,139.80474,6138,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Kalbok,0,,,,,,,,50,2022-10-17T11:58:24+00:00
310679,ID-0101,small_airport,"Nalca Airstrip",-4.3636,139.8351,5250,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Kalca,0,,,,,,,WW22,50,2022-10-02T16:28:11+00:00
