id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
310447,WABY,small_airport,"Kebo Airstrip",-3.8248,136.385844,5845,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Kebo,0,WAYM,,,,,,WABY,50,2025-08-03T02:42:50+00:00
310449,ID-0076,small_airport,"Kedembak Airstrip",0.5906,111.302,170,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Kedembak,0,,,,,,,WZ36,50,2013-12-29T11:54:59+00:00
41376,ID-0321,closed,"Keisah Airport",-7.66667,140.5,81,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Keisah,0,,,,,,,"KEA, ID-KEA",50,2025-02-25T14:49:58+00:00
310452,ID-0077,small_airport,"Kelansam Airstrip",0.1228,111.4197,96,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Kelansam,0,,,,KEL,,,WZ39,50,2013-12-29T12:10:03+00:00
41469,ID-0335,closed,"Keluang Airport",-2.640962,103.914557,76,AS,Indonesia,ID,"Sumatera Selatan (South Sumatra)",ID-SS,SS,Keluang,0,,,,,,,"WIPV, WIPV, KLQ",50,2025-02-25T14:49:59+00:00
310455,ID-0078,small_airport,"Keneyan Airstrip",-4.5995,138.3844,449,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Keneyan,0,,,,KEN,,,"WZ41, Kenyem, Kenyam",50,2022-10-02T00:13:59+00:00
42252,WAPO,small_airport,"Larat Airport",-7.1282,131.7673,108,AS,Indonesia,ID,Maluku,ID-MA,MA,"Kepulauan Larat",0,WAPO,,,,,,,50,2014-01-01T11:39:24+00:00
310458,ID-0079,small_airport,"Kerapak Airstrip",0.0939,111.9083,157,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Kerapak,0,,,,KRA,,,WZ42,50,2013-12-29T16:08:18+00:00
594196,ID-0352,small_airport,"Bukit Mulia Airport",-3.79107,115.29557,82,AS,Indonesia,ID,"Kalimantan Selatan (South Kalimantan)",ID-KS,KS,"Kintap, Tanah Laut",0,,,,,,,,50,2025-03-04T07:49:55+00:00
594201,ID-0353,small_airport,"Kintap Airport",-3.8244,115.1825,66,AS,Indonesia,ID,"Kalimantan Selatan (South Kalimantan)",ID-KS,KS,"Kintap, Tanah Laut",0,,,,,,,,50,2025-03-04T07:52:08+00:00
